timestamp(ms),DPTH.Depth,DPTH.Lng,DPTH.Lat
222828.372,2.251999855041504,-807316701,353037218
222928.372,2.253999948501587,-807316711,353037214
223028.372,2.257999897003174,-807316719,353037212
223128.372,2.260999917984009,-807316729,353037208
223228.372,2.2649998664855957,-807316739,353037205
223328.372,2.2660000324249268,-807316747,353037202
223428.372,2.2760000228881836,-807316757,353037198
223528.372,2.2779998779296875,-807316774,353037191
223628.372,2.2919998168945312,-807316783,353037187
223728.372,2.294999837875366,-807316791,353037184
223828.372,2.299999952316284,-807316801,353037180
223928.372,2.302999973297119,-807316809,353037177
224028.372,2.305000066757202,-807316819,353037173
224128.372,2.316999912261963,-807316830,353037169
224228.372,2.3289999961853027,-807316838,353037166
224328.372,2.3289999961853027,-807316848,353037163
224428.372,2.3359999656677246,-807316859,353037159
224528.372,2.3459999561309814,-807316867,353037157
224628.372,2.3519999980926514,-807316878,353037154
224728.372,2.3529999256134033,-807316897,353037148
224828.372,2.3559999465942383,-807316908,353037146
224928.372,2.3589999675750732,-807316917,353037144
225028.372,2.365000009536743,-807316927,353037141
225128.372,2.368000030517578,-807316938,353037138
225228.372,2.365000009536743,-807316946,353037136
225328.372,2.366999864578247,-807316956,353037133
225428.372,2.369999885559082,-807316964,353037131
225528.372,2.365999937057495,-807316974,353037128
225628.372,2.369999885559082,-807316984,353037125
225728.372,2.369999885559082,-807316992,353037122
225828.372,2.372999906539917,-807317002,353037119
225928.372,2.372999906539917,-807317012,353037116
226028.372,2.3919999599456787,-807317029,353037110
226128.372,2.3919999599456787,-807317039,353037106
226228.372,2.3919999599456787,-807317047,353037104
226328.372,2.3980000019073486,-807317056,353037101
226428.372,2.4010000228881836,-807317062,353037098
226528.372,2.4029998779296875,-807317070,353037095
226628.372,2.4049999713897705,-807317078,353037092
226728.372,2.4099998474121094,-807317084,353037090
226828.372,2.4110000133514404,-807317092,353037087
226928.372,2.4139997959136963,-807317098,353037084
227028.372,2.4159998893737793,-807317103,353037082
227128.372,2.4189999103546143,-807317109,353037080
227228.372,2.423999786376953,-807317114,353037078
227328.372,2.429999828338623,-807317122,353037075
227428.372,2.43399977684021,-807317125,353037075
227528.372,2.43399977684021,-807317125,353037075
227628.372,2.443999767303467,-807317131,353037074
227728.372,2.436000108718872,-807317133,353037074
227828.372,2.438999891281128,-807317134,353037073
227928.372,2.440999984741211,-807317136,353037073
228028.372,2.4549999237060547,-807317137,353037073
228128.372,2.4589998722076416,-807317138,353037073
228228.372,2.4600000381469727,-807317140,353037073
228328.372,2.4679999351501465,-807317141,353037073
228428.372,2.4730000495910645,-807317142,353037073
228528.372,2.4789998531341553,-807317143,353037073
228628.372,2.490999937057495,-807317144,353037074
228728.372,2.490999937057495,-807317144,353037074
228828.372,2.491999864578247,-807317144,353037074
228928.372,2.497999906539917,-807317144,353037074
229028.372,2.5,-807317145,353037074
229128.372,2.498999834060669,-807317146,353037074
229228.372,2.498999834060669,-807317147,353037075
229328.372,2.497999906539917,-807317149,353037075
229428.372,2.496000051498413,-807317150,353037075
229528.372,2.506999969482422,-807317151,353037075
229628.372,2.504999876022339,-807317154,353037075
229728.372,2.503999948501587,-807317154,353037075
229828.372,2.5,-807317154,353037075
229928.372,2.490999937057495,-807317155,353037075
